Rindas nr.,Pasūtījuma kods,Atbilst RoHS?,Jūsu daļas nr.,Piezīmes,Daudz.,Ražotāja detaļas numurs,Ražotāja nosaukums,Ražotājs / apraksts,Pieejamība,Vienības cena (&euro;),Rindas cena (&euro;),Atlaides cena (&euro;)
1,3564732,RoHS: YES / Ftalāti: YES,,,10.0,"MP005472",MULTICOMP PRO,"MULTICOMP PRO  Fuse, Surface Mount, PV, EV, New Energy, 10 A, Fast Acting, 24 VDC, 1206 [3216 Metric]",3124,0.1550,1.55,,
2,2679588,RoHS: YES / Ftalāti: YES,,,5.0,"SMF24A",LITTELFUSE,"LITTELFUSE  TVS Diode, SMF, Unidirectional, 24 V, 38.9 V, SOD-123FL, 2 Pins",3710,0.4290,2.15,,
3,3582858,RoHS: YES / Ftalāti: YES,,,20.0,"GRM188R6YA106MA73D",MURATA,"MURATA  SMD Multilayer Ceramic Capacitor, 10 µF, 35 V, 0603 [1608 Metric], ± 20%, X5R, GRM Series",10115,0.1770,3.54,,
4,3581436,RoHS: YES / Ftalāti: YES,,,10.0,"GRT188R60J226ME13D",MURATA,"MURATA  SMD Multilayer Ceramic Capacitor, 22 µF, 6.3 V, 0603 [1608 Metric], ± 20%, X5R, GRT",5623,0.2270,2.27,,
5,2073345,RoHS: Y-EX / Ftalāti: YES,,,20.0,"MCMR06X000 PTL",MULTICOMP PRO,"MULTICOMP PRO  Zero Ohm Resistor, Jumper, 0603 [1608 Metric], Thick Film, 100 mW, 1 A, Surface Mount Device",29910,0.0082,0.16,,
6,3539730,RoHS: Y-EX / Ftalāti: YES,,,10.0,"RK73H1JTTD1622F",KOA,"KOA  SMD Chip Resistor, 16.2 kohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, Precision",4688,0.0149,0.15,,
7,3548723,RoHS: Y-EX / Ftalāti: YES,,,10.0,"RK73H1JTTD4992F.",KOA,"KOA  SMD Chip Resistor, 49.9 kohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, Precision",18820,0.0152,0.15,,
8,2447226,RoHS: Y-EX / Ftalāti: YES,,,10.0,"MCWR06X1003FTL",MULTICOMP PRO,"MULTICOMP PRO  SMD Chip Resistor, 100 kohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose",296890,0.0053,0.05,,
9,2447227,RoHS: Y-EX / Ftalāti: YES,,,40.0,"MCWR06X1000FTL",MULTICOMP PRO,"MULTICOMP PRO  SMD Chip Resistor, 100 ohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose",106730,0.0052,0.21,,
10,2447331,RoHS: Y-EX / Ftalāti: YES,,,10.0,"MCWR06X3000FTL",MULTICOMP PRO,"MULTICOMP PRO  SMD Chip Resistor, 300 ohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose",16890,0.0052,0.05,,
